guid,make,model,deviceType,connNetwork,hasWifi,width,depth,height,weight,speedMono,printDPI,speedColor,standardinputcapacity,maximuminputcapacity,hasA3,printTechnology,copy,scan,fax,hasDuplex,powerActive,listprice
DL0202,Dell,942,MFD Color,FALSE,FALSE,17.2,17.5,11.4,10,19,4800 x 1200,14,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,0,79
HP2354,Hewlett-Packard,DeskJet 3745,SF Color,FALSE,FALSE,16.61,7.17,5.59,4.5,14,4800 x 1200,10,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,25,49
HP2355,Hewlett-Packard,LJC CP1215Printer,SF Color,FALSE,FALSE,15.7,17.8,10,38.8,12,600 x 600,8,150,150,FALSE,Laser,FALSE,FALSE,FALSE,FALSE,290,150.99
HP2356,Hewlett-Packard,Officejet Pro 8000 Ent Printer A811a,SF Color,TRUE,FALSE,19.4,23.3,7.09,26,15,600 x 600,14,250,500,FALSE,Inkjet,FALSE,FALSE,FALSE,TRUE,18.2,199.99
HP2357,Hewlett-Packard,OJP 8100,SF Color,TRUE,TRUE,19.45,18.03,7.95,24.2,35,1200 x 600,35,250,500,FALSE,Inkjet,FALSE,FALSE,FALSE,TRUE,28,183
HP2358,Hewlett-Packard,OfficeJet Pro 8216 Printer,SF Color,TRUE,TRUE,19.21,16.85,11.37,25.3,22,2400 x 1200,18,500,500,FALSE,Inkjet,FALSE,FALSE,FALSE,TRUE,30,99.95
HP2359,Hewlett-Packard,DeskJet 935c,SF Color,TRUE,FALSE,17.3,15.7,7.7,12.57,9,2400 x 1200,7.5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,25,160.5
HP2360,Hewlett-Packard,DeskJet 5940,SF Color,FALSE,FALSE,18.1,8.7,6.7,7.94,8.5,4800 x 1200,5.3,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,44,99.99
HP2362,Hewlett-Packard,DeskJet 1000,SF Color,FALSE,FALSE,16.6,15,10.5,4.41,16,600 x 600,12,60,60,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,10,199
HP2365,Hewlett-Packard,DESKJET 895CXI,SF Color,TRUE,FALSE,17.6,14,7.3,12.13,5,600 x 600,2.5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,30,127
BR0364,Brother,HL-4040CN,SF Color,TRUE,FALSE,16.5,18.7,12.5,64.2,20,2400 x 600,20,300,300,FALSE,Laser,FALSE,FALSE,FALSE,FALSE,510,99.95
HP2378,Hewlett-Packard,LaserJet colour 1600 Printer,SF Color,FALSE,FALSE,16,17.8,14.6,40.56,8,600 x 600,8,250,500,FALSE,Laser,FALSE,FALSE,FALSE,Optional,190,199.99
CN0033,Canon,i455,SF Color,FALSE,FALSE,15.5,10,7.8,8.2,18,4800 x 1200,12,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,16,97.28
EP0005,Epson,Stylus Color 777,SF Color,TRUE,FALSE,17.7,10.1,6.8,8.38,8,2880 x 720,6,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,15,100
EP0018,Epson,Stylus C42UX,SF Color,FALSE,FALSE,16.7,9,6.8,5.51,12,1440 x 720,5.5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,16,134.99
EP0040,Epson,Stylus Color 860,SF Color,TRUE,FALSE,10.6,17.7,6.9,13.2,9.5,1440 x 720,7,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,15,135.64
EP0044,Epson,Stylus Color 880,SF Color,TRUE,FALSE,17.7,10.6,6.9,13.23,12,2880 x 720,9,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,15,200
EP0055,Epson,Stylus C44UX,SF Color,FALSE,FALSE,16.7,9,6.8,5.51,11,2880 x 720,5.5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,19,50
HP1544,Hewlett-Packard,DeskJet 400,SF Color,TRUE,FALSE,13.7,6.4,7,6.61,3,600 x 300,3,50,50,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,0,179
HP1580,Hewlett-Packard,DeskJet 400L,SF Color,TRUE,FALSE,13.7,11.1,7,6.61,3,600 x 300,3,50,50,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,0,150
HP1587,Hewlett-Packard,DeskJet 3420,SF Color,FALSE,FALSE,16.61,7.17,5.59,4.41,7,600 x 600,3.5,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,23,79
HP1590,Hewlett-Packard,DeskJet 3320,SF Color,FALSE,FALSE,16.6,7.2,5.6,4.5,6,1200 x 600,6,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,0,49.99
HP1605,Hewlett-Packard,PSC 2355,MFD Color,FALSE,FALSE,17.3,11.2,8.2,12.13,7.4,1200 x 4800,5,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,80,199
HP1800,Hewlett-Packard,Photosmart 1215,SF Color,TRUE,FALSE,17.3,14.6,8,14.33,15,2400 x 1200,12,100,100,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,40,119.95
DL0080,Dell,V313,MFD Color,FALSE,FALSE,18.8,13.3,7.05,14.3,33,4800 x 1200,30,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,0,175
HP0549,Hewlett-Packard,ENVY 4522 All-in-One Printer,MFD Color,FALSE,TRUE,17.52,14.45,5.04,11.93,9.5,4800 x 1200,7.5,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,85,116
HP0927,Hewlett-Packard,Photosmart 5512 (B111a) All-in-One,MFD Color,FALSE,TRUE,17,13,5.5,11.12,11,4800 x 1200,7.5,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,13.9,69
HP0936,Hewlett-Packard,Photosmart 6515 (B211a) All-in-One,MFD Color,FALSE,TRUE,17,13,5.5,11.12,11,4800 x 1200,7.5,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13,199.77
EP0302,Epson,Stylus CX4600,MFD Color,FALSE,FALSE,16.9,13.5,6.7,18.3,15,5760 x 1440,15,150,150,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,23,130
EP0304,Epson,Expression Home XP-330,MFD Color,FALSE,TRUE,15.4,11.8,5.7,9,9,5760 x 1440,4.5,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,12,84.5
EP0305,Epson,Expression Premium XP-830,MFD Color,TRUE,TRUE,15.4,13.3,7.5,21.5,14,5760 x 1440,11,120,120,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,13,129.99
EP0306,Epson,WorkForce WF-7110,SF Color,TRUE,TRUE,22.3,31.8,12.7,32.8,18,4800 x 2400,10,500,500,TRUE,Inkjet,FALSE,FALSE,FALSE,TRUE,22,199.99
CN0526,Canon,PIXMA MG2525,MFD Color,FALSE,FALSE,16.8,12.1,5.8,7.6,8,4800 x 600,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,0,39.99
EP0307,Epson,Expression Home XP-320,MFD Color,FALSE,TRUE,15.4,20.8,11,9,9,5760 x 1440,4.5,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,13,179
EP0317,Epson,Expression Home XP-440,MFD Color,FALSE,TRUE,15.4,20.8,11,9.5,10,5760 x 1440,4.5,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,13,59.99
CN0529,Canon,PIXMA MG2520,MFD Color,FALSE,FALSE,16.8,12.1,5.8,7.6,8,4800 x 600,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,0,69.99
EP0319,Epson,WorkForce 840,MFD Color,FALSE,FALSE,17.6,22.3,12,22,15,5760 x 1440,9.3,500,500,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,16,129.99
CN0540,Canon,MG2920,MFD Color,TRUE,TRUE,16.8,12.1,5.7,7.6,8,4800 x 600,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,0,79.99
EP0323,Epson,WorkForce WF-2530,MFD Color,FALSE,FALSE,15.4,14.8,8.7,12.81,9,5760 x 1440,4.5,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,9,155.35
EP0331,Epson,Expression Premium XP-820,MFD Color,TRUE,TRUE,17.2,23.5,8.1,21.5,14,5760 x 1440,11,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,13,99.99
CN0546,Canon,PIXMA MG3020,MFD Color,TRUE,TRUE,16.8,12.1,5.8,7.6,8,4800 x 600,4,60,60,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,0,79.99
CN0547,Canon,PIXMA G2200,MFD Color,FALSE,FALSE,17.6,13,6.5,12.7,8.8,4800 x 1200,5,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,0,199.99
CN0562,Canon,PIXMA MG3670,MFD Color,FALSE,TRUE,17.7,12,5.9,11.9,9.9,4800 x 1200,5.7,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,16,42.95
CN0595,Canon,PIXMA TS9120,MFD Color,TRUE,TRUE,14.7,12.8,5.59,14.6,15,4800 x 1200,10,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,0,99.99
HP2388,Hewlett-Packard,Deskjet 1056 All-in-One Printer - J410a,MFD Color,FALSE,FALSE,16.81,12.05,6.14,7.94,16,2400 x 2400,10,50,50,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,0,119.99
HP2389,Hewlett-Packard,Deskjet D1330 Printer,SF Color,FALSE,FALSE,16.6,7.2,5.6,4.41,12,4800 x 1200,12,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,20,37.5
LM0620,Lexmark,X5320,MFD Color,FALSE,FALSE,17.9,12.6,6.9,12.7,18,4800 x 1200,15,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,15,75.79
HP2396,Hewlett-Packard,Deskjet F2110 All-in-One,MFD Color,FALSE,FALSE,16.8,10.5,7.1,9.48,11,4800 x 1200,11,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,80,199.99
HP2397,Hewlett-Packard,Deskjet D1520 Printer,SF Color,FALSE,FALSE,16.6,12.45,5.5,4.41,11,1200 x 1200,11,80,80,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,16,139.98
KD0024,Kodak,VERITE 55,MFD Color,FALSE,TRUE,17.7,10.7,6,8,10,4800 x 1200,4.2,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,18,69.99
KD0025,Kodak,Verite 55 XL Plus,MFD Color,FALSE,TRUE,17.7,10.7,6,8,10,4800 x 1200,4.2,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,18,69.99
HP1157,Hewlett-Packard,DeskJet 2131 All-in-One Printer,MFD Color,FALSE,FALSE,16.73,11.97,5.87,7.54,7.5,4800 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,10,59.99
HP1158,Hewlett-Packard,DeskJet 2132 All-in-One Printer,MFD Color,FALSE,FALSE,16.73,11.97,5.87,7.54,7.5,4800 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,10,164.11
HP1185,Hewlett-Packard,DeskJet 2621 All-in-One Printer,MFD Color,FALSE,TRUE,16.73,21.56,9.79,7.55,7.5,4800 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,0,79
HP2398,Hewlett-Packard,DeskJet 2130 AiO,MFD Color,FALSE,FALSE,16.73,20.45,9.79,7.54,7.5,1200 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,10,62.5
HP2399,Hewlett-Packard,DeskJet 2620 All-in-One Printer,MFD Color,FALSE,TRUE,16.7,12,5.87,7.54,7.5,4800 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,0,104.99
HP2400,Hewlett-Packard,DeskJet 2622 All-in-One Printer,MFD Color,FALSE,TRUE,16.73,11.97,5.87,7.54,7.5,4800 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,0,54.99
HP2401,Hewlett-Packard,DeskJet 2655 All-in-One Printer,MFD Color,FALSE,TRUE,16.73,21.56,9.79,7.55,7.5,4800 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,0,49.99
HP2402,Hewlett-Packard,DeskJet 1010,SF Color,FALSE,FALSE,16.65,8.54,5,4.55,20,600 x 600,16,60,60,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,10,179.99
HP2403,Hewlett-Packard,DeskJet 1112,SF Color,FALSE,FALSE,16.76,8.49,4.89,4.44,7.5,4800 x 1200,5.5,60,60,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,10,29.99
HP2404,Hewlett-Packard,DeskJet Ink Advantage 1115 Printer,SF Color,FALSE,FALSE,16.76,8.49,4.89,4.45,7.5,4800 x 1200,5.5,60,60,FALSE,Inkjet,FALSE,FALSE,FALSE,Optional,10,66.34
HP2405,Hewlett-Packard,DeskJet Ink Advantage 2135 AiO Printer,MFD Color,FALSE,FALSE,16.73,11.97,5.87,7.54,7.5,4800 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,10,89.75
HP2406,Hewlett-Packard,DeskJet 3720 All-in-One Printer,MFD Color,FALSE,TRUE,15.86,17.75,10.39,5.13,8,4800 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,0,81.99
HP2407,Hewlett-Packard,DeskJet 3755 All-in-One Printer,MFD Color,FALSE,TRUE,15.86,17.75,10.39,5.13,8,4800 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,0,69.99
HP2408,Hewlett-Packard,DeskJet Ink Advantage 2135 All-in-One,MFD Color,FALSE,FALSE,18.7,7.5,13.9,7.54,7.5,4800 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,10,89.75
HP1202,Hewlett-Packard,Deskjet 2543 All-in-One Printer,MFD Color,FALSE,TRUE,16.7,12.1,6.2,7.94,7,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,10,89.99
HP1210,Hewlett-Packard,Deskjet Ink Advantage 2546 All-in-One Printer,MFD Color,FALSE,TRUE,16.7,12,6.2,11.49,7,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,10,49
HP1211,Hewlett-Packard,Deskjet Ink Advantage 2548 All-in-One Printer,MFD Color,FALSE,TRUE,16.7,12,6.2,11.49,7,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,151.11
HP1226,Hewlett-Packard,DeskJet 3639 All-in-One Printer,MFD Color,FALSE,TRUE,17.24,12.2,6.22,9.19,8.5,4800 x 1200,6,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,10,77.6
HP2409,Hewlett-Packard,DeskJet Ink Advantage 3630 All-in-One Printer,MFD Color,FALSE,TRUE,17.24,21.79,10.1,9.19,8.5,4800 x 1200,6,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,10,68
HP2410,Hewlett-Packard,DeskJet Ink Advantage 3830 All-in-One Printer series,MFD Color,FALSE,TRUE,17.71,22.55,10.66,12.37,8.5,4800 x 1200,6,60,60,FALSE,Inkjet,TRUE,TRUE,TRUE,Optional,10,79.99
HP0533,Hewlett-Packard,ENVY 4502 e-All-in-One Printer,MFD Color,FALSE,TRUE,17.52,13.15,4.72,12.32,21,1200 x 600,17,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13.07,199.99
HP0673,Hewlett-Packard,OfficeJet 5258 All-in-One Printer,MFD Color,FALSE,TRUE,17.53,22.22,7.81,14.44,10,4800 x 1200,7,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,14,45
HP2411,Hewlett-Packard,ENVY 4512 All-in-One Printer,MFD Color,FALSE,TRUE,17.52,14.45,5.04,11.93,9,4800 x 1200,6,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,15,59
HP2412,Hewlett-Packard,ENVY 4516 All-in-One Printer,MFD Color,FALSE,TRUE,17.52,14.45,5,11.93,9,4800 x 1200,6,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,15,67
HP2413,Hewlett-Packard,ENVY 4524 All-in-One Printer,MFD Color,FALSE,TRUE,17.52,14.45,5.04,11.93,9.5,4800 x 1200,6.8,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,15,99.49
HP2414,Hewlett-Packard,Deskjet F2430 All-in-One,MFD Color,FALSE,FALSE,18.6,13.2,7.7,13.4,16,4800 x 1200,16,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,22.8,154.99
HP2415,Hewlett-Packard,Officejet 2620 All-in-One Printer,MFD Color,FALSE,FALSE,17.5,14.3,8.5,11.9,20,600 x 600,16,60,60,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,9.3,96.42
HP2417,Hewlett-Packard,Photosmart 5514 (B111h) All-in-One,MFD Color,FALSE,TRUE,17.2,12.8,5.7,11.24,11,4800 x 1200,7.5,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13.9,159.01
HP1169,Hewlett-Packard,Deskjet 1050 All-in-One Printer - J410a,MFD Color,FALSE,FALSE,16.8,16,9.8,7.94,5.5,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,68.88
HP1174,Hewlett-Packard,Deskjet 2050 All-in-One Printer - J510a,MFD Color,FALSE,FALSE,16.81,12.05,6.14,7.94,5.5,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,32.8
HP2418,Hewlett-Packard,DeskJet 3056A e-All-in-One Printer,MFD Color,FALSE,TRUE,16.81,18.5,9.8,7.72,5.5,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,9,142.35
HP0584,Hewlett-Packard,ENVY 5660 MFP Printer,MFD Color,FALSE,TRUE,17.87,16.14,6.34,15.04,22,1200 x 1200,21,125,125,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,16.75,115.55
HP0913,Hewlett-Packard,ENVY Photo 7855 All-in-one Printer,MFD Color,TRUE,TRUE,17.86,19.8,7.61,16.72,15,4800 x 1200,10,125,125,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,13.95,199.99
HP1192,Hewlett-Packard,Deskjet 2510 All-in-One Printer,MFD Color,FALSE,FALSE,17.01,11.9,6.22,8.59,7.5,4800 x 1200,4.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,87.57
HP1201,Hewlett-Packard,Deskjet 2541 All-in-One Printer,MFD Color,FALSE,TRUE,16.7,21.7,9.9,7.94,7,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,10,197.95
HP1207,Hewlett-Packard,Deskjet 2548 All-in-One Printer,MFD Color,FALSE,TRUE,16.7,12.1,6.2,7.94,7,1200 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,51
HP1208,Hewlett-Packard,Deskjet 2549 All-in-One Printer series,MFD Color,FALSE,TRUE,16.7,12,6.2,7.94,7,1200 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,168.11
HP1209,Hewlett-Packard,Deskjet Ink Advantage 2545 All-in-One Printer,MFD Color,FALSE,TRUE,16.7,12,6.2,7.94,7,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,10,132
HP2419,Hewlett-Packard,DeskJet 1510 AiO,MFD Color,FALSE,FALSE,16.7,12,6.2,7.94,20,600 x 600,16,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,179
HP2420,Hewlett-Packard,ENVY 5535 e-All-in-One Printer,MFD Color,FALSE,TRUE,17.5,13.1,4.7,12.26,21,1200 x 600,17,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13.95,194.06
HP2421,Hewlett-Packard,ENVY 7644 e-All-in-One Printer,MFD Color,TRUE,TRUE,17.9,16.1,7.6,16.91,22,4800 x 1200,21,125,140,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,0,65.64
HP2422,Hewlett-Packard,Deskjet Ink Advantage 2645 All-in-One Printer,MFD Color,FALSE,FALSE,17.5,14.4,8.5,11.9,20,600 x 600,16,60,60,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,9.3,114.97
HP2424,Hewlett-Packard,Officejet 5740 e-All-in-One Printer,MFD Color,TRUE,TRUE,17.87,19.8,7.6,16.91,12,4800 x 1200,8,140,140,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,0,140.95
HP2425,Hewlett-Packard,Deskjet Ink Advantage 5525 e-All-in-One,MFD Color,FALSE,TRUE,17.3,21.5,5.6,11.13,23,1200 x 600,22,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,14.64,164.93
HP2426,Hewlett-Packard,Deskjet 2542 All-in-One Printer,MFD Color,FALSE,TRUE,16.7,12.1,6.2,7.94,7,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,10,188.88
HP2427,Hewlett-Packard,Deskjet 2544 All-in-One Printer,MFD Color,FALSE,FALSE,16.7,12.1,6.2,7.94,20,600 x 600,16,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,139
HP0609,Hewlett-Packard,OfficeJet 3831 All-in-One Printer,MFD Color,FALSE,TRUE,17.72,14.33,8.83,12.37,8,1200 x 1200,6,60,60,FALSE,Inkjet,TRUE,TRUE,TRUE,Optional,10,114
HP0676,Hewlett-Packard,Officejet 5745 e-All-in-One Printer,MFD Color,TRUE,TRUE,17.87,19.8,7.6,16.91,12,4800 x 1200,8,140,140,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,20,154.49
HP0735,Hewlett-Packard,Officejet J3640,MFD Color,FALSE,FALSE,16.4,8,13,12,8.5,1200 x 1200,5.1,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,0,199.99
HP0934,Hewlett-Packard,Photosmart 6510 (B211b) All-in-One,MFD Color,FALSE,TRUE,17.17,15,6.34,12.37,22,1200 x 1200,22,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13,149.99
HP1040,Hewlett-Packard,PhotoSmart C4780,MFD Color,FALSE,TRUE,17.4,16.6,6.7,10.58,9,4800 x 1200,6.5,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,20,130
HP1162,Hewlett-Packard,DeskJet Ink Advantage 2136 All-in-One Printer,MFD Color,FALSE,FALSE,16.73,11.97,5.87,7.54,7.5,4800 x 1200,5.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,10,185.11
HP1171,Hewlett-Packard,Deskjet 1055 All-in-One Printer - J410e,MFD Color,FALSE,FALSE,16.81,12.05,6.14,7.94,5.5,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,149.99
HP1195,Hewlett-Packard,Deskjet 2514 All-in-One Printer,MFD Color,FALSE,FALSE,17.01,11.9,6.22,8.59,7.5,4800 x 1200,4.5,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,189.74
HP1203,Hewlett-Packard,Deskjet 2546B All-in-One Printer,MFD Color,FALSE,TRUE,16.7,12,6.2,11.49,7,4800 x 1200,4,50,50,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,193.11
HP1204,Hewlett-Packard,Deskjet 2546P All-in-One Printer,MFD Color,FALSE,TRUE,16.7,12,6.2,11.49,7,4800 x 1200,4,50,50,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,193.11
HP1205,Hewlett-Packard,Deskjet 2546R All-in-One Printer,MFD Color,FALSE,TRUE,16.74,12.06,6.17,7.94,7,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,Optional,10,49
HP1206,Hewlett-Packard,Deskjet 2547 All-in-One Printer,MFD Color,FALSE,TRUE,16.7,12,6.2,11.49,7,4800 x 1200,4,60,60,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,10,89.99
HP1252,Hewlett-Packard,Deskjet F380,MFD Color,FALSE,FALSE,16.8,10.2,7,10,7,4800 x 1200,2.9,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,80,189.99
HP1265,Hewlett-Packard,Deskjet F2210 All-in-One,MFD Color,FALSE,FALSE,16.76,10.53,7.11,11,17,4800 x 1200,13,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,20,169.99
HP1281,Hewlett-Packard,Deskjet F2480 All-in-One,MFD Color,FALSE,FALSE,16.5,10.5,6.25,10.2,7,4800 x 1200,5,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,22.8,69
HP2429,Hewlett-Packard,PhotoSmart C4780 Printer,MFD Color,FALSE,TRUE,17.4,16.6,6.7,10.58,29,4800 x 1200,23,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,20,160
HP2430,Hewlett-Packard,ENVY 4511 All-in-One Printer,MFD Color,FALSE,TRUE,17.52,14.45,5.04,11.93,9,4800 x 1200,6,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,15,59.82
HP2431,Hewlett-Packard,ENVY 4513 All-in-One Printer,MFD Color,FALSE,TRUE,17.52,13.79,4.65,11.89,9,4800 x 1200,6,80,80,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,27.7,91.48
HP2432,Hewlett-Packard,Envy 5664 e-All-in-One Printer,MFD Color,FALSE,TRUE,17.87,19.7,6.34,15.04,14,4800 x 1200,9,125,140,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,0,71.4
HP2434,Hewlett-Packard,ENVY Photo 7155 All-in-One Printer,MFD Color,FALSE,TRUE,17.87,16.14,6.34,14.74,14,4800 x 1200,9,125,140,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13.95,89.75
HP2435,Hewlett-Packard,ENVY Photo 7164 All-in-One Printer,MFD Color,FALSE,TRUE,17.86,19.82,6.27,14.74,14,1200 x 1200,9,125,140,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13.95,129.95
HP2436,Hewlett-Packard,Officejet 4110v,MFD Color,FALSE,FALSE,16.8,8.3,7.2,7.5,12,1200 x 1200,10,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,75,185
HP2438,Hewlett-Packard,Officejet 5746 e-All-in-One Printer,MFD Color,TRUE,TRUE,17.87,19.8,7.6,16.91,12,4800 x 1200,8,140,140,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,0,59.99
HP2439,Hewlett-Packard,Photosmart C3140,MFD Color,FALSE,FALSE,18.5,13.2,7.7,14.77,7.1,4800 x 1200,4.9,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,70,99
HP2440,Hewlett-Packard,Photosmart C4250 All-in-One,MFD Color,FALSE,FALSE,23.1,17.1,6.4,11.24,30,4800 x 1200,23,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,70,78.49
HP2441,Hewlett-Packard,Photosmart C4280 All-in-One,MFD Color,FALSE,FALSE,17.1,23.1,6.4,11.24,8.9,4800 x 1200,5.3,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,70,123
